proxy	time	saved	missed	error
103.80.240.126:8080	2018-08-24 12:44:35.419019	1	0	0
93.179.66.57:8080	2018-08-24 12:44:52.983074	1	0	0
91.241.40.210:41258	2018-08-24 12:46:00.004174	1	0	1
140.227.56.100:3128	2018-08-24 12:46:00.963094	0	1	0
78.188.91.98:21231	2018-08-24 12:46:12.177571	1	0	0
94.101.140.10:21231	2018-08-24 12:46:18.950158	1	0	0
103.88.142.54:21231	2018-08-24 12:46:33.031133	1	0	0
182.55.250.98:80	2018-08-24 12:49:49.568468	1	0	1
183.90.70.134:80	2018-08-24 12:53:05.794676	1	0	1
93.91.196.30:8080	2018-08-24 12:54:12.540775	1	0	1
197.255.216.26:8080	2018-08-24 12:54:20.339998	1	0	0
92.242.255.85:21213	2018-08-24 12:54:27.916774	1	0	0
200.124.59.116:53281	2018-08-24 12:54:41.852756	1	0	0
78.108.108.192:21231	2018-08-24 12:54:58.942815	1	0	1
95.67.174.94:8080	2018-08-24 12:55:11.370515	1	0	0
105.22.72.110:8080	2018-08-24 12:55:26.387651	1	0	0
172.92.73.61:53281	2018-08-24 12:55:34.012595	1	0	0
37.247.28.21:21231	2018-08-24 12:56:07.391495	1	0	0
103.204.231.166:21776	2018-08-24 12:56:15.531897	0	1	0
78.156.225.170:41258	2018-08-24 12:56:36.348341	1	0	0
41.78.216.82:53281	2018-08-24 12:56:40.315230	0	1	0
83.144.67.2:21231	2018-08-24 12:56:47.860186	1	0	0
176.99.114.47:6666	2018-08-24 12:57:01.101956	1	0	0
140.227.54.68:3129	2018-08-24 12:57:08.890287	1	0	0
167.99.166.163:8080	2018-08-24 12:57:11.603593	1	0	0
185.133.225.210:21231	2018-08-24 12:57:19.799870	1	0	0
140.227.53.72:3129	2018-08-24 12:57:32.900516	1	0	0
201.16.148.169:8080	2018-08-24 12:57:39.159487	1	0	0
185.93.3.123:8080	2018-08-24 12:57:40.373047	0	1	0
05.197.183.222:8080	2018-08-24 12:57:48.041288	1	0	0
185.133.226.154:21231	2018-08-24 12:58:01.734764	1	0	0
103.80.240.126:8080	2018-08-24 12:58:39.408809	1	0	0
93.179.66.57:8080	2018-08-24 12:58:54.957141	1	0	0
91.241.40.210:41258	2018-08-24 12:59:26.589640	1	0	0
140.227.56.100:3128	2018-08-24 12:59:27.579097	0	1	0
78.188.91.98:21231	2018-08-24 12:59:34.067417	1	0	0
94.101.140.10:21231	2018-08-24 12:59:41.361542	1	0	0
103.88.142.54:21231	2018-08-24 12:59:51.803161	1	0	0
182.55.250.98:80	2018-08-24 13:03:19.237722	1	0	1
183.90.70.134:80	2018-08-24 13:06:44.313639	1	0	1
93.91.196.30:8080	2018-08-24 13:06:53.662041	1	0	0
197.255.216.26:8080	2018-08-24 13:07:01.617071	1	0	0
92.242.255.85:21213	2018-08-24 13:10:25.973958	1	0	0
200.124.59.116:53281	2018-08-24 13:10:30.586916	1	0	1
78.108.108.192:21231	2018-08-24 13:10:43.832448	1	0	0
95.67.174.94:8080	2018-08-24 13:10:53.051162	1	0	0
105.22.72.110:8080	2018-08-24 13:11:42.036332	1	0	0
172.92.73.61:53281	2018-08-24 13:11:51.629661	1	0	0
37.247.28.21:21231	2018-08-24 13:11:59.381569	1	0	0
103.204.231.166:21776	2018-08-24 13:12:06.781153	0	1	0
78.156.225.170:41258	2018-08-24 13:12:21.175158	1	0	0
83.144.67.2:21231	2018-08-24 13:12:41.886637	1	0	0
176.99.114.47:6666	2018-08-24 13:12:51.513993	1	0	0
140.227.54.68:3129	2018-08-24 13:12:58.024877	1	0	0
167.99.166.163:8080	2018-08-24 13:13:00.327953	1	0	0
185.133.225.210:21231	2018-08-24 13:13:06.621099	1	0	1
140.227.53.72:3129	2018-08-24 13:13:14.545403	1	0	0
201.16.148.169:8080	2018-08-24 13:13:19.251095	1	0	0
185.93.3.123:8080	2018-08-24 13:13:20.475481	0	1	0
05.197.183.222:8080	2018-08-24 13:13:27.017809	1	0	0
185.133.226.154:21231	2018-08-24 13:13:33.977361	1	0	1
103.80.240.126:8080	2018-08-24 13:14:26.758134	1	0	0
93.179.66.57:8080	2018-08-24 13:14:40.271338	1	0	0
91.241.40.210:41258	2018-08-24 13:15:32.776337	1	0	0
140.227.56.100:3128	2018-08-24 13:15:33.896293	0	1	0
78.188.91.98:21231	2018-08-24 13:15:42.807666	1	0	0
94.101.140.10:21231	2018-08-24 13:15:51.397964	1	0	0
103.88.142.54:21231	2018-08-24 13:16:04.403460	1	0	0
