swim_lane,task,status
Data Gathering,Yelp API,Complete
Data Gathering,Storage,Complete
Data Gathering,Progress Stats,Complete
Exploritory Data Analysis,Structure,Complete
Exploritory Data Analysis,Summarize,Complete
Exploritory Data Analysis,Charts,Complete
Modeling,Vectorize,Complete
Modeling,Model,Complete
Modeling,Predict,Complete
Modeling,Score,Complete
Deployment,Pickle,Checked Out
Deployment,.py Files,Checked Out
Deployment,MongoDB,Complete
Deployment,Templates,Checked Out
Deployment,Flask App,Complete
Presentation,Outline,Complete
Presentation,slides,Checked Out
Presentation,speech,Not Checked Out
Presentation,practice,Checked Out
