,id,rating,text,time_created,url,user
0,ZnuNh1OvHGQ9V37bWcYinw,5,"This place can get busy. But go with the right company and grab a drink, the wait won't be bad.

Good brewery menu and good beer. I mainly go for the...",2018-08-08 17:24:53,https://www.yelp.com/biz/four-peaks-brewing-tempe?hrid=ZnuNh1OvHGQ9V37bWcYinw&adjust_creative=ihkhZPaVUfUYeK7PoCZp6w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ihkhZPaVUfUYeK7PoCZp6w,"{'id': 'Qibct9TTLHhPxJ554ik5XA', 'profile_url': 'https://www.yelp.com/user_details?userid=Qibct9TTLHhPxJ554ik5XA', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/tyQ1pXwGrRoqpLTEmYIZEg/o.jpg', 'name': 'Cindy M.'}"
1,cnpjTFbonpc-Ay_mQdYXzQ,4,This four peaks happens to be down the street from my work so i frequent here for lunch.  Four peaks not only has some of the better craft beers around by...,2018-08-02 10:07:46,https://www.yelp.com/biz/four-peaks-brewing-tempe?hrid=cnpjTFbonpc-Ay_mQdYXzQ&adjust_creative=ihkhZPaVUfUYeK7PoCZp6w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ihkhZPaVUfUYeK7PoCZp6w,"{'id': '3IZC92G8kpoW0vBosH1i3w', 'profile_url': 'https://www.yelp.com/user_details?userid=3IZC92G8kpoW0vBosH1i3w', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/XdAbsk8YmIO1-B7J6C4Zvw/o.jpg', 'name': 'Josh M.'}"
2,hdoB0MXOXbWlRKhI_nVYxQ,2,"This place has gone down hill lately. This was the first time I had been in since the AB-InBev sell out. 

I went for breakfast on the morning of the World...",2018-07-28 15:30:08,https://www.yelp.com/biz/four-peaks-brewing-tempe?hrid=hdoB0MXOXbWlRKhI_nVYxQ&adjust_creative=ihkhZPaVUfUYeK7PoCZp6w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ihkhZPaVUfUYeK7PoCZp6w,"{'id': 'o44rYplgwPgsHGMiEhsSyw', 'profile_url': 'https://www.yelp.com/user_details?userid=o44rYplgwPgsHGMiEhsSyw', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/1P0Y0VswVoh2uUshfoGMZg/o.jpg', 'name': 'Aubrey B.'}"
